Solution ID,f[1] (B),f[2] (W),f[3] (s)
12381,62.0,27.774986465,9016.58525958
4228,50.0,30.6949513494,9904.76237758
24752,138.0,12.6187616385,9072.69439563
24758,140.0,12.4107974604,9072.69439563
24759,141.0,12.333322387,9072.69439563
24761,142.0,12.2113403771,9072.69439563
21202,73.0,21.7494389561,9230.23568042
17112,115.0,15.4098270892,9122.82001577
24897,41.0,61.1734457587,9658.8315788
20803,45.0,40.0393064914,9244.12698284
22582,72.0,23.4883853343,8944.55732254
20827,59.0,26.3610350464,9335.4037783
20853,100.0,18.1709581756,8994.08450925
20893,127.0,13.7111274393,9295.08496428
20894,128.0,13.6036112287,9265.80795047
20901,130.0,13.428495004,9137.61003526
20926,118.0,15.0751355313,9004.21572441
20927,119.0,14.9479470882,8990.1702037
20928,120.0,14.8040610907,8984.50098101
20932,121.0,14.6810368461,8967.89106943
20957,111.0,16.4409298459,8821.5654736
20959,112.0,16.2930875336,8789.88288011
16889,49.0,31.6128268001,9501.54398157
16891,51.0,30.3694211167,9484.46063551
16895,54.0,28.6620717275,9435.41184566
16931,57.0,26.8167887802,9560.86607446
21100,101.0,17.881869577,8981.91642021
21231,63.0,24.52162954,9348.67730739
21254,81.0,19.7343310245,9094.48487164
21255,82.0,19.4864628867,9089.62627162
23983,80.0,20.8025202882,8988.36044501
17267,41.0,55.9794897435,9675.50558339
17341,41.0,48.5203455454,9688.28410952
21804,78.0,19.4460140243,9417.14027772
21805,79.0,19.192760845,9409.26781146
5590,42.0,37.097843673,9808.50085656
24157,68.0,25.9018600851,8920.00542898
22183,41.0,62.9828849013,9653.57657936
22337,135.0,12.8628536806,9224.69850672
22338,136.0,12.7738488543,9224.69850672
22382,58.0,26.8239678038,9356.29333895
22419,117.0,15.1837835973,8984.50098101
22444,69.0,23.9621819852,9030.63608191
14265,47.0,32.9600638335,9597.52366168
14268,48.0,32.2724831634,9536.76957414
18376,107.0,17.052689845,8852.19728378
18377,108.0,16.8947025598,8837.92739934
22477,64.0,23.9135370019,9453.31673656
2044,43.0,42.246923111,9487.60148633
22587,76.0,22.2437125153,8886.97352317
14471,55.0,27.9948617195,9622.9551917
22714,84.0,18.0367799857,9365.37032016
22717,87.0,17.3998520669,9365.37032016
14660,50.0,30.8863783648,9801.6455308
19013,143.0,12.3053765147,9059.06392408
23655,41.0,53.3325117916,9678.76111999
23177,46.0,33.5619736922,9276.41372238
23189,85.0,18.778073657,9075.46327163
23191,86.0,18.5500052087,9062.99162401
23194,88.0,18.1074693819,9047.38295537
23195,89.0,17.8898139259,9039.93665916
23196,90.0,17.6873360084,9009.29306342
15175,102.0,17.9135550534,8956.60874119
23970,106.0,17.1838200944,8870.41659493
23715,44.0,42.8670211417,9286.95158626
23756,137.0,12.7030706207,9072.69439563
23760,139.0,12.5297433042,9072.69439563
23764,56.0,27.8280532657,9356.29333895
23806,74.0,22.7272251994,8920.62229016
23814,60.0,25.511577115,9474.2183139
23816,61.0,25.0871232236,9437.07265423
23962,104.0,17.2906898737,8971.94860122
23988,83.0,19.9152990981,8988.36044501
7662,52.0,29.5151454624,9739.31446251
7663,53.0,28.957185121,9709.36946522
24058,124.0,14.211369411,9011.0387623
24068,129.0,13.6602057058,8970.84870995
24072,131.0,13.4333576037,8926.71934238
24073,132.0,13.3313239369,8910.9217894
24074,133.0,13.231090191,8909.98488152
24075,134.0,13.1323339737,8903.5712138
24086,75.0,21.205484614,9186.8026742
24088,77.0,20.6657928783,9186.8026742
24140,65.0,23.4143434709,9521.92589186
24149,71.0,21.3499260976,9521.92589186
24154,66.0,26.7384518639,8939.18861422
22458,103.0,17.5130048802,8964.0306387
24173,116.0,15.320121066,9069.91539614
24182,126.0,13.9033734481,9141.93732755
24212,122.0,14.5118614828,9030.26313946
24213,123.0,14.3939011787,9026.79111812
24216,125.0,14.1629531449,8980.74142543
24232,113.0,16.0442127018,8869.54005386
18379,109.0,16.7392975733,8821.5654736
18380,110.0,16.5871249217,8792.89486951
22484,67.0,22.8885937451,9393.02864474
23856,105.0,16.998433158,9173.68065512
17032,70.0,22.5607026394,9324.98646993
23872,114.0,15.497335636,9197.54938146
23198,91.0,17.4776642336,9007.06654763
