Solution ID,f[1] (B),f[2] (W),f[3] (s)
512,5.0,11.3203434631,5373.71342751
513,3.0,23.2922551689,5988.0312567
514,3.0,23.2922551689,5988.0312567
515,5.0,12.266680139,5338.46787975
516,3.0,23.2922551689,5988.0312567
534,18.0,2.09873894509,4152.43351354
519,6.0,8.28073608494,5085.14083041
520,7.0,7.28271299514,5009.59075217
535,18.0,2.09873894509,4152.43351354
270,5.0,14.7106949068,5166.84388423
271,5.0,11.0399142419,5456.65278862
272,5.0,11.0399142419,5456.65278862
273,5.0,11.0399142419,5456.65278862
274,5.0,11.0399142419,5456.65278862
275,5.0,11.0399142419,5456.65278862
276,5.0,11.0399142419,5456.65278862
277,5.0,11.0399142419,5456.65278862
278,5.0,11.0399142419,5456.65278862
279,5.0,11.0399142419,5456.65278862
280,5.0,11.0399142419,5456.65278862
539,20.0,1.85605484039,3919.2445483
284,7.0,6.57255194136,5055.03350768
413,4.0,9.78352170591,5668.94775297
414,4.0,9.78352170591,5668.94775297
415,4.0,9.78352170591,5668.94775297
416,5.0,7.19656197852,5668.94775297
417,6.0,6.30278328532,5668.94775297
549,11.0,5.11950315284,4616.40773693
550,11.0,5.12451607365,4577.52931768
540,16.0,2.85907502384,3954.83370793
299,10.0,3.79598189123,4940.90352343
300,7.0,5.66091561876,5118.41148618
302,8.0,5.31346132107,5090.5639089
541,5.0,11.0399142419,5456.65278862
319,12.0,4.06375565487,4681.86103289
320,12.0,4.06201214701,4691.44660072
321,13.0,3.54476597491,4425.6459897
322,13.0,3.87026172005,4394.12713
323,14.0,3.28971764002,4325.6414573
324,15.0,3.17643398429,4434.82294786
325,3.0,21.0728587677,6131.3908544
77,4.0,15.5614850823,5525.73459721
210,4.0,17.9800188606,5519.64643448
536,19.0,1.93290378922,3919.2445483
529,3.0,21.3377415917,6096.93463356
362,3.0,23.2922551689,5988.0312567
531,16.0,2.50519587319,4420.52948182
532,17.0,2.19800301524,4420.52948182
533,18.0,2.03912883415,4420.52948182
