Solution ID,f[1] (B),f[2] (W),f[3] (s)
24581,42.0,33.1316268123,9429.84662298
24582,43.0,32.3777926682,9429.84662298
20490,64.0,20.4980315425,9025.38997664
22544,59.0,23.3755337673,8893.31980435
22546,58.0,23.8363624107,8893.31980435
22547,59.0,23.3755337673,8893.31980435
20506,48.0,32.5806011139,9130.50014789
18471,44.0,32.4803063724,9336.61978336
18473,43.0,33.2508381934,9336.61978336
20529,42.0,46.5140702398,9153.71557176
20532,43.0,38.1168119961,9223.27361794
16442,45.0,40.934104867,9095.98318869
10310,62.0,24.3701641097,8829.70447262
20553,49.0,31.2646817141,9024.51606302
24549,56.0,24.7766338697,9236.38933996
18521,44.0,35.4624860673,9174.42227857
18531,42.0,47.557222912,9119.35969457
18532,43.0,45.4348715561,9119.35969457
13329,42.0,41.5389999399,9301.62944712
18552,62.0,23.2411035699,8863.59949961
18561,43.0,32.8443761562,9417.50388497
24564,45.0,45.2927534979,9085.12760203
23590,45.0,32.9069021267,9250.43750628
14583,44.0,51.773335318,9049.1317943
14634,44.0,32.4405714409,9359.35153816
13705,44.0,36.4721198947,9153.75122048
24561,44.0,46.6284275767,9085.12760203
12666,55.0,25.8371755167,9236.38933996
12685,43.0,40.8403035976,9194.37643883
6559,55.0,26.2544961401,8958.56047132
12715,61.0,22.3314811309,9203.93756018
14807,43.0,40.4583694576,9211.57571364
14826,42.0,44.0353115051,9258.13108082
19453,60.0,22.5223750684,8893.31980435
10773,42.0,34.3242948905,9371.50469655
19044,42.0,46.4893527523,9175.48878784
11716,43.0,53.226392367,9049.1317943
12955,43.0,43.7346186166,9191.75131481
17529,44.0,33.5367721319,9308.77551693
20027,48.0,37.0675779426,9045.40970517
24543,57.0,24.7240252142,9236.38933996
10258,44.0,40.078083159,9128.24188687
18732,62.0,25.6903850653,8764.30624561
23432,63.0,24.7466004763,8828.55733106
23439,64.0,24.133697388,8740.11111206
23444,53.0,30.8378331263,8951.42634429
7069,63.0,21.7657411819,8932.118862
24570,66.0,19.660299345,8897.54756209
23470,44.0,31.8630735659,9412.37143829
23474,45.0,31.2294266484,9412.37143829
23478,58.0,27.5649139069,8878.80953212
23500,62.0,21.691011561,8974.00618627
23504,63.0,21.4068210715,8974.00618627
21459,65.0,21.2647597905,8815.82306468
23511,59.0,24.0775703997,8885.9918121
23540,46.0,37.3935036629,9070.7707728
23552,64.0,21.3167295109,8932.118862
21521,43.0,53.8896998737,9046.60147284
23571,49.0,36.4254008584,8988.4735044
21530,42.0,33.6297769658,9421.53232389
17436,42.0,55.1445939657,9048.93363102
21542,66.0,19.7110487894,8824.53982268
23599,62.0,24.3701641097,8829.70447262
23605,51.0,34.944839869,8945.69174146
23606,50.0,35.6436670501,8965.60513026
17469,48.0,43.9201703384,9020.18994699
17474,49.0,42.3356814725,8984.93778453
23619,48.0,35.724324373,9092.11891382
17476,45.0,40.9281253615,9111.28808996
19543,64.0,21.3817295257,8854.35107705
19559,44.0,33.8325743542,9250.43750628
15477,42.0,45.9705258035,9210.47014441
23689,63.0,22.4652051409,8835.86214035
17550,47.0,31.7025300556,9250.43750628
24567,45.0,45.6981775926,9075.73153221
15559,65.0,20.0189012608,8897.54756209
19580,46.0,32.483011555,9250.43750628
15576,56.0,30.5503142782,8878.80953212
15578,57.0,29.2338692513,8878.80953212
15607,45.0,34.690792324,9174.42227857
13659,56.0,29.5975820566,8928.28446085
13661,55.0,30.0759640034,8928.28446085
13668,59.0,22.7081866114,9060.56643828
19482,51.0,34.8347229558,8965.60513026
23449,47.0,36.1984013888,9092.11891382
21516,44.0,56.0013652202,9046.40305601
24533,49.0,30.803541952,9216.43061857
24502,55.0,32.8784129916,8919.99111758
21440,59.0,26.2051036573,8884.3504197
23152,43.0,33.2048703963,9342.18837013
17447,52.0,29.5575645959,9004.47037127
20179,54.0,34.2229381878,8919.99111758
18150,42.0,35.0342583512,9306.95703226
18156,42.0,44.045840495,9227.91457133
23510,58.0,24.484538644,8885.9918121
18199,42.0,34.1888215598,9418.4022582
23452,46.0,37.307597406,9092.11891382
24588,64.0,22.1984312646,8815.82306468
24402,63.0,20.4070328686,9038.16838427
22432,46.0,47.0499721172,9030.96964308
24483,46.0,31.3369741049,9359.35153816
24486,45.0,31.7774516567,9359.35153816
24489,46.0,31.3369741049,9359.35153816
24496,47.0,33.6020884826,9149.25158369
24497,46.0,34.3080596389,9149.25158369
24516,51.0,29.0959944888,9010.66095073
24518,50.0,30.0409922669,8985.10468765
24521,52.0,33.4306717399,8965.60513026
22479,61.0,23.5091277218,8845.07482302
24528,47.0,32.6850327292,9233.56672927
24534,48.0,31.8441934668,9233.56672927
22487,60.0,24.1739541813,8845.07482302
24538,44.0,52.1413591997,9046.60147284
20453,43.0,47.2705737769,9085.12760203
20454,42.0,49.190353901,9085.12760203
20461,63.0,25.3156568504,8764.30624561
24560,52.0,34.1657953898,8945.69174146
22517,43.0,36.1622161142,9259.57140703
22521,46.0,33.3053836267,9233.56672927
