Solution ID,f[1] (B),f[2] (W),f[3] (s)
72,6.0,10.507553767,5727.11316187
222,4.0,15.5631525756,5601.00920959
282,6.0,10.1801006583,5869.47179103
307,6.0,13.4017651437,5699.79331536
312,5.0,12.016309234,5901.16749613
472,3.0,22.4529501733,5765.43111098
490,5.0,13.4320810971,5415.76639586
499,6.0,13.3315181883,5720.76314204
533,3.0,20.1221067934,5997.77157671
571,3.0,25.8779709702,5744.26432078
584,3.0,19.5988583832,6054.06262512
586,4.0,14.4546823218,5672.52384239
637,5.0,13.3784467328,5813.52968451
664,3.0,27.5239414057,5730.60338466
674,4.0,14.0620429035,5955.29225026
678,3.0,18.7157358172,6131.3908544
687,4.0,14.2811086228,5935.27164901
688,3.0,19.3490165543,6060.96353364
696,3.0,21.6687395619,5799.82267072
709,3.0,18.9573182394,6068.21995916
711,4.0,15.2722606635,5663.32876065
729,3.0,21.1920041373,5990.38107065
730,5.0,11.7958856551,5998.96898414
738,3.0,21.9022717868,5768.53602505
