Solution ID,f[1] (B),f[2] (W),f[3] (s)
171,4.0,22.3904158311,5570.38995434
233,4.0,20.9178883403,5616.89650605
275,4.0,18.5157187776,5649.69777406
329,7.0,9.57913360533,5763.73396201
330,5.0,11.6870459444,6029.08191031
334,5.0,17.1351971575,5609.29152202
378,5.0,19.6304771271,5606.71882896
453,4.0,20.7987330147,5644.92440808
471,4.0,15.2190547856,5880.23740778
492,3.0,25.6669462462,5762.49836144
516,4.0,15.2180154202,5884.29328982
558,4.0,15.9689161362,5841.24813903
612,5.0,11.8859715396,5614.19400271
637,4.0,14.2759836922,5899.84422685
639,3.0,24.052072173,5789.19758047
678,3.0,21.1249057036,6063.13064834
707,6.0,10.5305478801,5544.84860761
716,4.0,15.4978193899,5849.89693406
724,3.0,22.5217484252,5902.43469279
725,4.0,15.3265887117,5875.12490782
729,4.0,15.2180154202,5884.29328982
738,3.0,20.9380743508,6097.88991678
749,3.0,21.8924760231,6019.41083411
753,6.0,10.0737860449,5587.68933638
758,4.0,16.663785863,5737.3803171
776,4.0,17.2050067294,5698.95242325
778,3.0,23.5506340192,5851.07508881
