***3D Rectangular Problem***
***Instances for the Single Bin Size Bin Packing Problem (SBSBPP)***
Input parameter file: Cookies1000.txt
***********************************************************************
Total number of instances 
LargeObject.Length	LargeObject.Width	LargeObject.Height
Number of different item types (i)
Item[i].Length	Item[i].Width	Item[i].Height
***********************************************************************
1
1263	1821	1853
1000
75	90	660
56	82	498
64	65	872
30	52	513
66	75	630
62	47	574
47	35	395
45	65	671
39	51	24
68	86	979
87	72	541
41	30	927
34	70	777
13	76	96
70	58	715
72	4	121
32	42	323
30	70	424
28	82	728
46	40	827
78	46	738
70	44	902
53	28	29
62	54	50
34	89	228
73	50	27
10	76	132
29	15	863
56	53	762
29	17	62
16	33	358
77	24	870
35	63	707
27	52	315
31	15	113
76	26	206
42	27	636
34	20	266
68	77	971
24	35	35
42	13	927
76	22	695
40	34	954
48	47	896
72	74	88
86	37	200
54	37	346
76	50	194
21	36	736
51	53	416
95	94	48
61	29	730
77	24	101
16	51	469
36	61	195
8	47	322
78	86	867
84	73	413
59	22	940
75	28	210
87	26	132
89	57	532
31	51	99
65	84	382
24	58	13
22	33	273
34	47	263
37	42	942
44	75	152
46	54	149
81	48	947
54	31	473
58	86	199
45	70	619
20	96	263
72	40	635
38	51	364
85	42	86
39	21	181
38	43	441
71	39	331
46	82	194
47	62	201
38	85	635
39	78	589
5	41	161
62	88	116
30	20	869
47	66	738
32	51	65
62	37	865
27	31	875
10	56	403
36	96	353
46	71	566
17	80	561
77	85	69
13	38	116
55	46	753
66	50	140
70	47	72
60	49	18
11	72	865
64	80	866
46	54	877
14	48	82
26	53	582
60	53	795
65	56	203
59	82	725
66	91	705
39	34	474
30	56	564
36	40	123
30	60	743
6	97	308
56	17	770
98	85	614
58	36	563
39	76	378
90	66	93
39	10	734
17	48	363
67	76	869
53	90	476
71	56	325
78	46	754
31	67	577
58	64	508
93	73	808
35	5	673
42	45	597
45	26	563
62	37	460
49	82	66
21	18	679
80	22	280
81	53	488
58	24	357
27	52	152
46	85	745
84	36	955
38	11	567
15	23	257
96	33	184
25	67	131
85	50	976
77	72	714
37	51	570
48	17	154
54	35	484
39	61	647
36	59	397
54	64	504
74	47	361
76	26	607
58	43	315
43	53	61
50	76	718
71	48	908
60	32	996
58	59	989
89	85	303
64	59	567
70	10	453
63	43	572
44	24	983
70	11	97
21	71	709
48	6	753
74	57	908
27	44	701
68	53	134
53	60	703
54	45	15
44	61	906
42	38	358
34	38	878
89	40	423
66	83	371
37	12	869
29	80	751
24	47	908
82	14	460
86	86	483
33	92	557
16	60	567
9	84	799
89	60	763
41	77	179
44	51	514
79	46	448
66	75	295
58	38	602
34	20	736
40	41	399
64	38	985
46	60	712
92	79	369
44	30	436
71	59	296
25	15	457
41	50	931
46	42	802
19	38	561
79	70	747
86	88	19
93	82	424
68	74	916
63	44	915
43	83	703
56	29	480
28	69	801
43	58	79
49	28	686
50	55	804
24	48	395
27	32	984
58	51	817
36	70	433
36	52	612
27	33	659
30	8	127
29	74	966
78	77	982
58	17	532
65	35	525
19	70	42
62	61	40
41	80	366
23	74	508
59	76	943
85	38	306
34	42	516
59	66	374
97	23	725
14	56	818
33	36	287
61	31	921
29	90	905
72	38	914
11	62	522
83	64	998
38	25	112
29	46	429
80	52	552
55	47	780
53	82	838
56	76	651
46	65	945
46	86	170
29	63	474
77	62	761
64	49	189
27	35	591
65	25	473
76	49	772
54	42	816
50	22	951
89	68	133
74	51	849
50	49	682
65	56	328
45	91	124
64	48	911
72	79	839
21	22	77
75	95	417
48	45	389
53	76	635
35	63	290
86	44	235
34	39	410
21	15	932
19	45	460
36	62	175
50	55	838
67	65	134
10	28	279
32	59	52
21	45	353
65	58	349
71	64	284
16	19	722
89	70	657
67	50	96
50	73	394
79	24	399
65	17	774
24	25	802
14	41	724
86	22	98
71	81	541
70	6	514
23	35	753
29	43	682
36	62	406
13	75	669
13	22	242
44	67	833
91	49	609
53	34	506
32	94	522
53	20	214
56	81	289
13	82	199
59	25	939
72	67	520
27	72	995
10	15	120
35	70	476
5	85	979
48	26	296
36	42	127
40	4	56
70	67	999
80	80	587
34	29	713
31	13	316
35	37	701
58	30	381
40	49	567
53	50	328
58	55	509
64	29	680
45	86	437
45	26	845
38	73	715
46	78	334
91	57	360
76	34	126
77	49	368
57	38	534
30	24	703
52	63	624
45	66	110
72	46	850
59	11	458
57	54	355
48	41	153
20	41	934
47	37	856
51	66	586
21	33	373
8	66	307
54	88	354
88	96	144
51	83	180
55	52	333
69	66	797
38	22	199
66	26	638
83	73	68
44	26	835
14	67	517
11	44	125
68	90	196
55	15	242
52	38	98
8	50	614
92	26	104
42	28	123
44	28	563
79	73	975
26	22	429
39	43	323
57	83	614
74	45	474
13	59	644
69	32	88
