Solution ID,f[1] (B),f[2] (W),f[3] (s)
122068,3.0,14.8006277538,6086.46533648
122070,3.0,15.1932485181,6048.46228088
122072,3.0,15.1829693524,6059.23485995
122075,3.0,15.1843436268,6057.54545247
122079,3.0,14.8024588749,6081.33002027
122080,3.0,14.7935693313,6092.00470113
122081,3.0,15.186071122,6054.05848032
122082,3.0,14.7947265,6090.33047549
122083,3.0,15.1874916457,6052.36717431
122084,3.0,15.1771908897,6063.13064834
122085,3.0,14.7935665943,6092.00880417
122086,3.0,15.1860677402,6054.06262512
122087,3.0,15.1758179503,6064.8222121
122088,3.0,15.177187613,6063.13478513
122089,3.0,14.4111336666,6121.02930374
122102,3.0,15.6491355121,6019.41083411
122124,3.0,15.6305031799,6028.857411
122125,3.0,15.6359615865,6023.64093254
122137,3.0,16.0847456144,5999.67861587
122153,3.0,15.6705191926,6017.29173982
122154,3.0,15.6760101844,6012.06164432
122169,3.0,16.1247616272,5988.02886184
122190,3.0,16.1122179216,5992.29118915
122215,3.0,15.631582653,6028.49331414
122216,3.0,15.6370420298,6023.27643016
122221,3.0,15.6209020261,6034.11931229
122222,3.0,15.6223493653,6032.41905228
122223,3.0,15.6208985785,6034.12347898
122231,3.0,16.0858250875,5999.31195648
122253,3.0,16.0732916711,6003.56388866
122276,3.0,16.113297079,5991.92394187
122312,3.0,15.640227731,6021.74515651
122328,3.0,16.0871599089,5997.77157671
122345,3.0,16.077306243,6002.02485896
122366,3.0,16.1173222558,5990.38107065
122395,3.0,16.0790131062,6001.65837695
122445,3.0,15.6457266035,6020.00863058
122452,3.0,16.0965817592,5996.02463743
122472,3.0,16.08342303,6000.27947611
122502,3.0,16.1195491299,5988.63126266
122526,3.0,16.0838763383,5999.91286256
122927,4.0,6.04487490195,6090.33047549
122928,4.0,6.04487490195,6090.33047549
122929,5.0,4.64253412705,6090.33047549
122930,5.0,4.64253412705,6090.33047549
122931,6.0,3.86877843921,6090.33047549
122934,7.0,3.19833735997,6090.33047549
123235,8.0,2.96336382067,6032.41905228
123236,9.0,2.63410117393,6032.41905228
123238,10.0,2.28841547801,6032.41905228
123240,12.0,2.02405475529,6032.41905228
123444,8.0,3.06307148792,5921.4466969
123512,10.0,3.05105718237,4428.34502315
123551,4.0,10.408698973,5408.307866
123587,12.0,2.34487045698,4319.20911728
123764,4.0,10.6903874591,5378.04379026
123768,5.0,8.28268559096,5133.31551394
123853,10.0,3.34265997807,4414.4983863
