Solution ID,f[1] (B),f[2] (W),f[3] (s)
49,3.0,25.5527557091,6121.02930374
63,3.0,25.8410305462,6086.46533648
69,3.0,25.8421529298,6081.33002027
72,3.0,26.1318831468,6048.46228088
76,3.0,25.8401202937,6092.00470113
79,3.0,26.1298505108,6059.23485995
80,3.0,26.1309728943,6054.05848032
84,3.0,25.8403656901,6090.33047549
87,3.0,26.1300959072,6057.54545247
88,3.0,26.1312182907,6052.36717431
89,3.0,26.1291856547,6063.13064834
898,3.0,26.6246633339,6019.41083411
1797,3.0,26.6204277048,6028.857411
1798,3.0,26.6215500883,6023.64093254
1799,3.0,26.6197628487,6032.78285266
2519,3.0,27.1161115703,5999.67861587
3372,3.0,26.6312349978,6017.29173982
3373,3.0,26.6323573813,6012.06164432
4094,3.0,27.1269188632,5988.02886184
4769,3.0,27.1238056177,5992.29118915
5892,3.0,26.6206657711,6028.49331414
5893,3.0,26.6217881546,6023.27643016
5894,3.0,26.6200009149,6032.41905228
6614,3.0,27.1163496365,5999.31195648
7289,3.0,27.113236391,6003.56388866
8234,3.0,27.1240436839,5991.92394187
9673,3.0,26.6228478388,6021.74515651
10394,3.0,27.1174093208,5997.77157671
11069,3.0,27.1142960753,6002.02485896
12014,3.0,27.1251033682,5990.38107065
13274,3.0,27.1145341415,6001.65837695
15073,3.0,26.6241739631,6020.00863058
15794,3.0,27.1187354451,5996.02463743
16469,3.0,27.1156221996,6000.27947611
17414,3.0,27.1264294925,5988.63126266
18674,3.0,27.1158602658,5999.91286256
20294,3.0,27.1169199501,5998.37267714
122068,4.0,6.46231019167,5779.59122146
122071,5.0,4.84036503023,5779.59122146
122072,6.0,4.66987166928,5779.59122146
122073,7.0,3.99334792316,5779.59122146
122075,8.0,2.87664747402,5779.59122146
122090,7.0,3.72003988775,6092.00470113
122092,9.0,2.64933229076,6092.00470113
122093,10.0,2.62690692989,6092.00470113
122101,10.0,2.82737660646,6090.33047549
122102,11.0,2.69902600025,6090.33047549
122120,6.0,4.16900746703,6081.33002027
122121,6.0,4.16900746703,6081.33002027
122122,6.0,4.16900746703,6081.33002027
122123,6.0,4.16900746703,6081.33002027
122124,6.0,4.16900746703,6081.33002027
122125,6.0,4.16900746703,6081.33002027
122127,7.0,3.77291137822,6081.33002027
122128,7.0,3.77291137822,6081.33002027
122129,7.0,3.77291137822,6081.33002027
122132,4.0,6.93923683356,5720.76314204
122135,5.0,5.93661695199,5439.47514422
122136,6.0,6.03394807405,5299.30191056
122138,7.0,5.40481784649,5077.43176869
122139,8.0,5.01064038937,4825.1378739
122151,16.0,2.39640777078,3929.77888763
122161,6.0,9.08356371068,5211.12855923
122166,8.0,4.92061926741,4966.44096358
122167,9.0,5.45403040882,4639.78268425
122168,10.0,4.73498533676,4620.53337388
122180,18.0,2.39635685337,3929.02237987
122191,9.0,3.98401639914,4775.45958915
122192,9.0,4.04819907916,4727.62106935
122194,10.0,3.85677967078,4689.92958048
122196,11.0,3.32591100895,4624.1090563
122197,12.0,3.48531433126,4409.00925991
122199,13.0,3.0647952677,4391.96927721
122200,13.0,2.94720986567,4845.00440764
122203,14.0,2.72705183341,4441.52260712
122204,14.0,2.72688846839,4443.84675721
122205,14.0,2.73256560209,4441.32024552
122225,14.0,2.93520589718,4376.83765166
122228,15.0,2.64735083148,4018.85405805
122229,15.0,2.56673188083,4143.71103612
122234,5.0,11.3810287413,5355.15424819
122235,6.0,8.57944872581,5219.21427334
122238,7.0,6.22679275189,4836.51557241
122239,8.0,5.45612485481,4816.26904785
122244,11.0,3.75030131281,4618.54052496
122246,11.0,3.76977409451,4400.4720815
122247,12.0,3.63438313343,4363.06567621
122248,12.0,3.33102302039,4432.5700565
122249,12.0,3.35247127776,4432.06126485
122250,13.0,3.47070586041,4261.46789134
122251,14.0,3.23286947492,4230.79116866
122253,15.0,2.57980842621,4098.18439522
122254,15.0,2.55987456838,4448.8546769
122256,17.0,2.71548639476,3929.43037492
122268,10.0,3.64689749911,4740.69793224
