Solution ID,f[1],f[2],f[3]
8196,55.0,561.0,489.127272727
21517,81.0,381.0,332.12345679
11280,79.0,397.0,340.53164557
10265,43.0,683.0,625.627906977
22567,42.0,696.0,640.523809524
22581,65.0,466.0,413.876923077
12344,44.0,664.0,611.409090909
22588,58.0,521.0,463.827586207
10301,53.0,568.0,507.58490566
10302,52.0,574.0,517.346153846
22594,97.0,326.0,277.340206186
23639,85.0,360.0,316.494117647
16478,94.0,344.0,286.191489362
16480,95.0,340.0,283.178947368
23663,163.0,272.0,165.042944785
23664,164.0,272.0,164.036585366
10772,70.0,444.0,384.314285714
22654,140.0,280.0,192.157142857
8327,78.0,405.0,344.897435897
22676,83.0,367.0,324.120481928
15515,93.0,347.0,289.268817204
23708,110.0,298.0,244.563636364
24770,36.0,898.0,747.277777778
24780,122.0,288.0,220.508196721
24784,124.0,288.0,216.951612903
24786,165.0,273.0,163.042424242
11477,71.0,435.0,378.901408451
23783,132.0,292.0,203.803030303
23784,131.0,292.0,205.358778626
16622,80.0,387.0,336.275
24821,119.0,292.0,226.067226891
24823,117.0,292.0,229.931623932
24825,115.0,292.0,233.930434783
24827,113.0,293.0,238.07079646
24836,63.0,477.0,427.015873016
15632,60.0,491.0,448.366666667
24856,90.0,352.0,298.911111111
15641,72.0,437.0,373.638888889
23840,69.0,453.0,389.884057971
14625,40.0,723.0,672.55
23853,126.0,288.0,213.507936508
23857,128.0,285.0,210.171875
23870,61.0,489.0,441.016393443
24906,104.0,311.0,258.673076923
24907,103.0,311.0,261.184466019
16718,59.0,495.0,455.966101695
18767,38.0,754.0,707.947368421
24803,116.0,292.0,231.913793103
24917,139.0,284.0,193.539568345
24918,138.0,284.0,194.942028986
24919,137.0,284.0,196.364963504
24920,136.0,284.0,197.808823529
24921,135.0,284.0,199.274074074
24922,134.0,284.0,200.76119403
24923,133.0,284.0,202.270676692
24924,66.0,459.0,407.606060606
24927,67.0,453.0,401.52238806
23914,87.0,357.0,309.218390805
23917,88.0,355.0,305.704545455
23919,89.0,354.0,302.269662921
24946,101.0,314.0,266.356435644
24947,100.0,314.0,269.02
24955,105.0,311.0,256.20952381
23707,111.0,298.0,242.36036036
24959,106.0,308.0,253.79245283
24960,107.0,307.0,251.420560748
24961,108.0,306.0,249.092592593
17795,73.0,414.0,368.520547945
16775,48.0,613.0,560.458333333
24972,109.0,301.0,246.80733945
23618,120.0,292.0,224.183333333
25001,129.0,288.0,208.542635659
25017,141.0,276.0,190.794326241
25018,142.0,276.0,189.450704225
25019,143.0,275.0,188.125874126
25021,144.0,273.0,186.819444444
25022,145.0,272.0,185.531034483
25023,152.0,270.0,176.986842105
25025,153.0,267.0,175.830065359
25026,154.0,266.0,174.688311688
25027,155.0,265.0,173.561290323
25028,156.0,264.0,172.448717949
24822,118.0,292.0,227.983050847
25030,158.0,263.0,170.265822785
25044,159.0,273.0,169.194968553
18903,62.0,480.0,433.903225806
24826,114.0,293.0,235.98245614
18913,76.0,410.0,353.973684211
25058,160.0,275.0,168.1375
18915,77.0,409.0,349.376623377
20049,49.0,598.0,549.020408163
18922,84.0,361.0,320.261904762
25067,125.0,288.0,215.216
25068,127.0,288.0,211.826771654
25071,68.0,453.0,395.617647059
25073,102.0,314.0,263.745098039
18961,39.0,744.0,689.794871795
19997,37.0,842.0,727.081081081
22455,86.0,359.0,312.813953488
23615,123.0,292.0,218.715447154
23653,121.0,292.0,222.330578512
20070,47.0,626.0,572.382978723
23660,162.0,275.0,166.061728395
6796,51.0,586.0,527.490196078
25029,157.0,264.0,171.350318471
20164,82.0,371.0,328.073170732
20222,64.0,477.0,420.34375
21275,41.0,702.0,656.146341463
20272,91.0,352.0,295.626373626
25057,161.0,275.0,167.093167702
21338,75.0,411.0,358.693333333
21350,98.0,318.0,274.510204082
21397,130.0,294.0,206.938461538
22423,57.0,531.0,471.964912281
23706,112.0,298.0,240.196428571
23538,151.0,273.0,178.158940397
22454,74.0,411.0,363.540540541
23541,148.0,273.0,181.77027027
23543,146.0,273.0,184.260273973
14291,96.0,328.0,280.229166667
12246,56.0,540.0,480.392857143
20048,50.0,593.0,538.04
14304,92.0,350.0,292.413043478
23539,150.0,273.0,179.346666667
23540,149.0,273.0,180.55033557
23542,147.0,273.0,183.006802721
11255,46.0,658.0,584.826086957
11256,45.0,658.0,597.822222222
9209,54.0,565.0,498.185185185
23549,99.0,318.0,271.737373737
