                          2016-08-02 04:26:07.666246
*******************************************************************************

     This output file records the optimization of a bin packing problem

     with  500  items to pack. The optimization is terminated after

      25000  fitness function evaluations.


*******************************************************************************

     Method:  MOEPSO
     data:  MOEPSO/Static/SBSBPP500/Experiment07/SBSBPP500_run7.txt
Generation  1 : 

Gen. Member  Solution ID     f[1] (B)    f[2] (H)    f[3] (Avg. W)
------------------------------------------------------------------
          0            0           51         793          542.10
          1            1           52         644          531.67
          2            2           53         788          521.64
          3            3           51         725          542.10
          4            4           53         791          521.64
          5            5           54         629          511.98
          6            6           55         597          502.67
          7            7           55         597          502.67
          8            8           57         881          485.04
          9            9           53         800          521.64
         10           10           52         730          531.67
         11           11           55         622          502.67
         12           12           53         635          521.64
         13           13           52         734          531.67
         14           14           53         719          521.64
         15           15           52         871          531.67
         16           16           51         741          542.10
         17           17           51         801          542.10
         18           18           53         611          521.64
         19           19           59         882          468.59
         20           20           54         670          511.98
         21           21           51         794          542.10
         22           22           53         800          521.64
         23           23           51         800          542.10
         24           24           52         686          531.67
         25           25           51         811          542.10
         26           26           51         732          542.10
         27           27           54         612          511.98
         28           28           59         882          468.59
         29           29           51         837          542.10
         30           30           51         770          542.10
         31           31           51         750          542.10
         32           32           54         622          511.98
         33           33           54         605          511.98
         34           34           51         800          542.10
         35           35           52         690          531.67
         36           36           53         865          521.64
         37           37           54         725          511.98
         38           38           53         865          521.64
         39           39           52         704          531.67
         40           40           51         772          542.10
         41           41           52         683          531.67
         42           42           51         726          542.10
         43           43           53         800          521.64
         44           44           59         882          468.59
         45           45           53         865          521.64
         46           46           51         772          542.10
         47           47           52         781          531.67
         48           48           51         766          542.10
         49           49           52         826          531.67
         50           50           52         880          531.67
         51           51           55         597          502.67
         52           52           51         757          542.10
         53           53           51         800          542.10
         54           54           51         749          542.10
         55           55           51         770          542.10
         56           56           52         819          531.67
         57           57           51         734          542.10
         58           58           53         800          521.64
         59           59           54         586          511.98
         60           60           51         689          542.10
         61           61           53         865          521.64
         62           62           54         623          511.98
         63           63           51         800          542.10
         64           64           59         882          468.59
         65           65           53         865          521.64
         66           66           52         875          531.67
         67           67           55         597          502.67
         68           68           53         604          521.64
         69           69           51         754          542.10
         70           70           55         593          502.67
         71           71           51         800          542.10
         72           72           52         656          531.67
         73           73           51         724          542.10
         74           74           52         706          531.67
         75           75           54         607          511.98
         76           76           53         602          521.64
         77           77           51         721          542.10
         78           78           54         602          511.98
         79           79           54         599          511.98
         80           80           51         800          542.10
         81           81           53         865          521.64
         82           82           53         865          521.64
         83           83           53         800          521.64
         84           84           54         608          511.98
         85           85           51         745          542.10
         86           86           51         698          542.10
         87           87           55         605          502.67
         88           88           51         696          542.10
         89           89           51         800          542.10
         90           90           52         879          531.67
         91           91           55         632          502.67
         92           92           51         740          542.10
         93           93           53         609          521.64
         94           94           52         864          531.67
         95           95           52         875          531.67
         96           96           51         800          542.10
         97           97           53         614          521.64
         98           98           55         597          502.67
         99           99           52         776          531.67
        100          100           51         761          542.10
        101          101           54         883          511.98
        102          102           54         598          511.98
        103          103           52         718          531.67
        104          104           55         632          502.67
        105          105           51         711          542.10
        106          106           51         701          542.10
        107          107           53         865          521.64
        108          108           51         765          542.10
        109          109           51         800          542.10
        110          110           54         615          511.98
        111          111           54         722          511.98
        112          112           51         756          542.10
        113          113           55         597          502.67
        114          114           55         597          502.67
        115          115           51         765          542.10
        116          116           59         882          468.59
        117          117           51         875          542.10
        118          118           54         593          511.98
        119          119           54         609          511.98
        120          120           51         767          542.10
        121          121           52         686          531.67
        122          122           52         882          531.67
        123          123           55         597          502.67
        124          124           59         882          468.59
        125          125           55         597          502.67
        126          126           53         790          521.64
        127          127           51         689          542.10
        128          128           52         692          531.67
        129          129           53         865          521.64
        130          130           51         800          542.10
        131          131           53         642          521.64
        132          132           53         865          521.64
        133          133           51         703          542.10
        134          134           55         632          502.67
        135          135           54         606          511.98
        136          136           51         726          542.10
        137          137           59         882          468.59
        138          138           51         878          542.10
        139          139           54         635          511.98
        140          140           51         717          542.10
        141          141           53         609          521.64
        142          142           52         871          531.67
        143          143           51         828          542.10
        144          144           55         597          502.67
        145          145           52         724          531.67
        146          146           53         610          521.64
        147          147           53         865          521.64
        148          148           53         865          521.64
        149          149           54         703          511.98
        150          150           59         882          468.59
        151          151           52         701          531.67
        152          152           51         874          542.10
        153          153           55         597          502.67
        154          154           51         718          542.10
        155          155           53         865          521.64
        156          156           51         766          542.10
        157          157           52         740          531.67
        158          158           54         607          511.98
        159          159           51         767          542.10
        160          160           52         882          531.67
        161          161           54         597          511.98
        162          162           52         873          531.67
        163          163           51         783          542.10
        164          164           51         758          542.10
        165          165           53         865          521.64
        166          166           53         705          521.64
        167          167           52         662          531.67
        168          168           51         726          542.10
        169          169           58         882          476.67
        170          170           52         724          531.67
        171          171           51         854          542.10
        172          172           54         582          511.98
        173          173           52         688          531.67
        174          174           51         722          542.10
        175          175           51         716          542.10
        176          176           53         800          521.64
        177          177           51         800          542.10
        178          178           54         608          511.98
        179          179           52         852          531.67
        180          180           51         710          542.10
        181          181           59         882          468.59
        182          182           53         800          521.64
        183          183           54         609          511.98
        184          184           55         684          502.67
        185          185           53         682          521.64
        186          186           59         882          468.59
        187          187           59         882          468.59
        188          188           53         800          521.64
        189          189           53         693          521.64
        190          190           55         632          502.67
        191          191           51         804          542.10
        192          192           52         691          531.67
        193          193           52         770          531.67
        194          194           51         680          542.10
        195          195           54         630          511.98
        196          196           52         738          531.67
        197          197           51         800          542.10
        198          198           55         676          502.67
        199          199           51         802          542.10
        200          200           59         882          468.59
        201          201           57         881          485.04
        202          202           51         729          542.10
        203          203           53         600          521.64
        204          204           51         705          542.10
        205          205           53         800          521.64
        206          206           51         828          542.10
        207          207           53         862          521.64
        208          208           59         882          468.59
        209          209           55         597          502.67
        210          210           51         778          542.10
        211          211           57         883          485.04
        212          212           55         693          502.67
        213          213           51         768          542.10
        214          214           52         881          531.67
        215          215           53         584          521.64
        216          216           51         734          542.10
        217          217           55         592          502.67
        218          218           53         605          521.64
        219          219           54         618          511.98
        220          220           51         662          542.10
        221          221           55         632          502.67
        222          222           53         865          521.64
        223          223           55         597          502.67
        224          224           55         597          502.67
        225          225           52         762          531.67
        226          226           51         880          542.10
        227          227           51         816          542.10
        228          228           52         711          531.67
        229          229           53         611          521.64
        230          230           51         795          542.10
        231          231           57         882          485.04
        232          232           52         743          531.67
        233          233           54         589          511.98
        234          234           55         632          502.67
        235          235           51         729          542.10
        236          236           52         784          531.67
        237          237           53         585          521.64
        238          238           52         721          531.67
        239          239           52         718          531.67
        240          240           53         655          521.64
        241          241           52         710          531.67
        242          242           51         742          542.10
        243          243           54         577          511.98
        244          244           53         614          521.64
        245          245           52         770          531.67
        246          246           53         618          521.64
        247          247           51         720          542.10
        248          248           53         800          521.64
        249          249           51         732          542.10
        250          250           51         862          542.10
        251          251           55         616          502.67
        252          252           52         687          531.67
        253          253           56         881          493.70
        254          254           55         606          502.67
        255          255           54         751          511.98
        256          256           51         758          542.10
        257          257           52         808          531.67
        258          258           52         800          531.67
        259          259           53         800          521.64
        260          260           51         800          542.10
        261          261           52         763          531.67
        262          262           55         882          502.67
        263          263           51         771          542.10
        264          264           55         597          502.67
        265          265           54         615          511.98
        266          266           53         865          521.64
        267          267           54         688          511.98
        268          268           54         707          511.98
        269          269           51         800          542.10
        270          270           53         865          521.64
        271          271           52         646          531.67
        272          272           53         635          521.64
        273          273           52         882          531.67
        274          274           51         800          542.10
        275          275           53         800          521.64
        276          276           55         632          502.67
        277          277           54         623          511.98
        278          278           53         800          521.64
        279          279           51         701          542.10
        280          280           53         790          521.64
        281          281           55         595          502.67
        282          282           51         800          542.10
        283          283           52         875          531.67
        284          284           51         718          542.10
        285          285           53         722          521.64
        286          286           53         606          521.64
        287          287           52         698          531.67
        288          288           51         733          542.10
        289          289           53         865          521.64
        290          290           53         618          521.64
        291          291           51         706          542.10
        292          292           53         800          521.64
        293          293           52         857          531.67
        294          294           55         632          502.67
        295          295           55         632          502.67
        296          296           54         605          511.98
        297          297           51         687          542.10
        298          298           53         865          521.64
        299          299           51         812          542.10
        300          300           53         594          521.64
        301          301           52         699          531.67
        302          302           53         800          521.64
        303          303           59         882          468.59
        304          304           55         632          502.67
        305          305           55         584          502.67
        306          306           55         597          502.67
        307          307           55         597          502.67
        308          308           55         883          502.67
        309          309           51         764          542.10
        310          310           54         624          511.98
        311          311           51         752          542.10
        312          312           55         597          502.67
        313          313           54         593          511.98
        314          314           51         800          542.10
        315          315           53         865          521.64
        316          316           54         621          511.98
        317          317           55         608          502.67
        318          318           54         605          511.98
        319          319           51         758          542.10
        320          320           52         791          531.67
        321          321           55         597          502.67
        322          322           52         740          531.67
        323          323           54         728          511.98
        324          324           53         800          521.64
        325          325           51         737          542.10
        326          326           52         883          531.67
        327          327           51         762          542.10
        328          328           51         708          542.10
        329          329           51         775          542.10
        330          330           54         600          511.98
        331          331           51         820          542.10
        332          332           54         651          511.98
        333          333           53         787          521.64
        334          334           53         883          521.64
        335          335           51         699          542.10
