Solution ID,f[1],f[2],f[3]
28,89.0,489.0,296.516853933
44,89.0,489.0,296.516853933
64,89.0,489.0,296.516853933
124,89.0,489.0,296.516853933
146,74.0,431.0,356.621621622
150,89.0,489.0,296.516853933
181,89.0,489.0,296.516853933
186,89.0,489.0,296.516853933
187,89.0,489.0,296.516853933
219,75.0,422.0,351.866666667
338,89.0,489.0,296.516853933
372,89.0,489.0,296.516853933
390,89.0,489.0,296.516853933
402,89.0,489.0,296.516853933
453,76.0,405.0,347.236842105
484,89.0,489.0,296.516853933
884,90.0,488.0,293.222222222
1331,89.0,489.0,296.516853933
1341,91.0,489.0,290.0
1418,91.0,489.0,290.0
2315,91.0,489.0,290.0
2325,91.0,489.0,290.0
2406,91.0,489.0,290.0
2608,91.0,489.0,290.0
2901,92.0,489.0,286.847826087
3397,93.0,489.0,283.76344086
6189,73.0,451.0,361.506849315
7158,71.0,470.0,371.690140845
7413,80.0,406.0,329.875
9030,81.0,406.0,325.802469136
9937,80.0,406.0,329.875
12396,79.0,402.0,334.050632911
13226,72.0,453.0,366.527777778
13280,79.0,402.0,334.050632911
17256,77.0,399.0,342.727272727
18158,84.0,417.0,314.166666667
18387,82.0,411.0,321.829268293
18651,85.0,417.0,310.470588235
20574,80.0,406.0,329.875
20946,78.0,405.0,338.333333333
22832,81.0,406.0,325.802469136
24186,83.0,414.0,317.951807229
