Solution ID,f[1],f[2],f[3]
133,93.0,300.0,296.784946237
1589,101.0,297.0,273.277227723
2219,99.0,298.0,278.797979798
2599,230.0,178.0,120.004347826
6458,122.0,277.0,226.237704918
8987,93.0,300.0,296.784946237
9481,127.0,270.0,217.330708661
15432,148.0,244.0,186.493243243
16098,121.0,281.0,228.107438017
16110,228.0,188.0,121.057017544
18266,132.0,265.0,209.098484848
19557,102.0,296.0,270.598039216
19742,114.0,292.0,242.114035088
19755,150.0,240.0,184.006666667
20450,233.0,197.0,118.459227468
21497,142.0,251.0,194.373239437
22049,106.0,294.0,260.386792453
22203,108.0,288.0,255.564814815
22205,110.0,288.0,250.918181818
22207,109.0,288.0,253.220183486
22208,152.0,237.0,181.585526316
22210,153.0,235.0,180.39869281
22212,154.0,234.0,179.227272727
22225,120.0,282.0,230.008333333
22230,123.0,282.0,224.398373984
22232,124.0,282.0,222.588709677
22233,155.0,238.0,178.070967742
22244,107.0,297.0,257.953271028
22255,115.0,288.0,240.008695652
22257,116.0,287.0,237.939655172
22264,117.0,287.0,235.905982906
22273,126.0,279.0,219.055555556
22277,125.0,278.0,220.808
22296,146.0,262.0,189.047945205
22306,119.0,286.0,231.941176471
22584,158.0,267.0,174.689873418
22585,157.0,267.0,175.802547771
23320,161.0,251.0,171.434782609
23323,160.0,250.0,172.50625
23326,218.0,201.0,126.610091743
23612,217.0,200.0,127.193548387
23619,118.0,286.0,233.906779661
23641,156.0,232.0,176.929487179
23855,113.0,298.0,244.256637168
23868,162.0,265.0,170.37654321
23874,219.0,192.0,126.03196347
23895,128.0,276.0,215.6328125
23896,129.0,274.0,213.96124031
23899,131.0,274.0,210.694656489
23910,140.0,261.0,197.15
23911,141.0,261.0,195.75177305
23931,111.0,297.0,248.657657658
23934,112.0,297.0,246.4375
24004,147.0,271.0,187.761904762
24005,130.0,274.0,212.315384615
24024,222.0,191.0,124.328828829
24025,103.0,298.0,267.970873786
24029,105.0,298.0,262.866666667
24439,95.0,300.0,290.536842105
24626,163.0,247.0,169.331288344
24643,104.0,297.0,265.394230769
24781,164.0,233.0,168.298780488
24782,165.0,231.0,167.278787879
24783,166.0,231.0,166.271084337
24790,145.0,245.0,190.351724138
24792,143.0,245.0,193.013986014
24794,144.0,245.0,191.673611111
24795,135.0,271.0,204.451851852
24798,136.0,271.0,202.948529412
24802,221.0,190.0,124.891402715
24807,168.0,228.0,164.291666667
24808,167.0,228.0,165.275449102
24853,220.0,191.0,125.459090909
24857,96.0,300.0,287.510416667
24909,96.0,300.0,287.510416667
24939,100.0,298.0,276.01
24941,97.0,300.0,284.546391753
24944,98.0,299.0,281.642857143
24952,94.0,300.0,293.627659574
