***2D Rectangular Problem***
***Instances for the Single Bin Size Bin Packing Problem (SBSBPP)***
Input parameter file: SBSBPP500.txt
***********************************************************************
Total number of instances 
LargeObject.Length	LargeObject.Width
Number of different item types (i)
Item[i].Length	Item[i].Width
***********************************************************************
20
731	962
500
95	17
100	15
15	11
11	32
48	54
60	99
98	35
32	100
19	64
45	12
11	55
98	76
95	45
43	93
76	49
11	23
100	100
83	60
10	25
86	51
53	64
100	14
39	71
10	12
78	100
53	72
36	100
89	77
33	13
91	23
10	77
98	14
28	98
97	51
11	52
95	100
52	84
11	16
35	26
100	100
31	88
28	48
90	74
99	36
10	13
14	96
76	31
29	51
84	15
35	94
21	94
90	13
81	11
10	61
54	98
11	96
61	100
11	65
97	30
21	58
59	42
35	12
81	96
34	78
88	35
36	12
54	96
85	10
100	99
76	56
72	27
99	14
10	34
91	100
100	98
95	68
95	16
99	98
18	99
54	37
64	68
30	19
35	16
14	100
97	56
98	19
10	100
26	81
100	70
92	31
99	50
71	38
17	22
10	43
32	51
20	21
24	10
62	76
51	25
29	83
76	97
86	66
44	50
98	76
14	21
64	81
28	10
55	10
87	70
97	46
23	48
47	66
52	58
81	63
71	37
79	93
29	96
10	92
75	51
48	39
11	67
79	49
100	12
10	98
16	58
21	45
98	61
28	67
100	51
47	72
10	16
84	19
12	15
39	91
15	55
82	99
12	10
67	99
42	83
86	40
35	10
33	35
48	17
49	22
96	40
62	100
94	63
89	15
13	27
100	10
77	81
27	22
23	47
100	58
10	40
74	42
23	100
19	10
90	96
52	57
30	33
40	89
89	51
22	83
10	11
11	81
62	67
99	69
99	74
45	93
13	72
37	99
97	16
42	21
92	100
12	86
39	51
68	100
51	95
61	97
25	56
55	22
97	13
11	57
100	97
63	99
100	98
47	53
87	99
11	27
94	97
91	56
32	36
57	99
56	23
32	94
22	96
86	10
100	21
99	99
71	21
87	98
100	10
10	38
60	50
86	62
32	63
29	94
86	45
97	65
38	98
33	20
94	58
23	94
44	16
24	38
86	97
44	35
10	15
25	13
50	39
61	45
100	11
91	84
58	78
70	56
90	12
38	14
35	22
94	58
51	85
43	26
58	99
34	30
18	98
100	10
99	91
30	89
83	20
72	34
74	93
87	43
90	20
12	17
55	95
81	51
11	10
62	69
99	27
10	62
94	22
91	29
15	100
36	10
10	14
66	68
66	95
10	82
95	60
91	13
14	61
55	29
20	10
28	38
10	14
46	14
48	99
28	36
100	27
18	98
81	24
95	11
84	91
77	16
86	76
100	99
78	36
97	99
100	31
64	100
23	87
99	10
60	16
10	10
65	99
13	45
100	30
100	79
13	100
96	54
97	56
88	100
95	96
10	35
91	26
100	98
100	100
64	76
13	48
18	18
97	14
89	10
10	93
51	16
15	95
90	15
13	84
14	11
65	10
50	40
41	99
80	99
