                          2016-07-24 00:53:47.921503
*******************************************************************************

     This output file records the optimization of a bin packing problem

     with  500  items to pack. The optimization is terminated after

      25000  fitness function evaluations.


*******************************************************************************

     Method:  MOMAD
     data:  MOMAD/Static/SBSBPP500/Experiment08/SBSBPP500_run8.txt
Generation  1 : 

Gen. Member  Solution ID     f[1] (B)    f[2] (H)    f[3] (Avg. W)
------------------------------------------------------------------
          0         6833           95         324          276.51
          1         1301           92         324          285.52
          2            2           94         322          279.45
          3         1247           91         324          288.66
          4         7353           92         324          285.52
          5          739           90         324          291.87
          6        11795           96         324          273.62
          7         4519           94         320          279.45
          8         5039           91         324          288.66
          9         8178           89         323          295.15
         10         1319           91         324          288.66
         11           11           95         324          276.51
         12        11016           93         323          282.45
         13           13           95         321          276.51
         14        12267           90         324          291.87
         15           15           93         323          282.45
         16         5949           88         324          298.50
         17        13177           94         324          279.45
         18         8938           89         324          295.15
         19         1335           88         324          298.50
         20        11329           89         324          295.15
         21        13800           90         324          291.87
         22         1189           90         324          291.87
         23           23           96         323          273.62
         24         5142           88         324          298.50
         25        10626           87         324          301.93
         26          796           95         324          276.51
         27        11275           90         324          291.87
         28          892           92         324          285.52
         29          716           91         324          288.66
         30          849           88         324          298.50
         31         8989           88         324          298.50
         32        11174           94         324          279.45
         33         6261           88         324          298.50
         34         3296           94         323          279.45
         35         1215           93         324          282.45
         36           36           95         324          276.51
         37        13773           88         324          298.50
         38         6987           89         324          295.15
         39         9301           88         324          298.50
         40         5740           88         324          298.50
         41        11093           91         324          288.66
         42         1328           91         324          288.66
         43        13619           96         324          273.62
         44        13123           88         324          298.50
         45         3190           91         324          288.66
         46           46           96         324          273.62
         47        13229           88         324          298.50
         48        10647           94         324          279.45
         49         1604           92         324          285.52
         50          768           97         323          270.80
         51         1006           93         324          282.45
         52         1369           91         324          288.66
         53         5504           88         324          298.50
         54        12787           90         324          291.87
         55        10680           91         324          288.66
         56         4330           90         324          291.87
         57         8622           89         324          295.15
         58         8965           88         323          298.50
         59        12395           92         324          285.52
         60           60           97         322          270.80
         61         8546           94         324          279.45
         62         3604           92         324          285.52
         63        11147           95         324          276.51
         64         4493           90         324          291.87
         65         6311           92         324          285.52
         66         9793           91         324          288.66
         67         9714           89         324          295.15
         68          945           95         324          276.51
         69          795           90         324          291.87
         70         7743           91         324          288.66
         71         1683           89         324          295.15
         72        10027           93         324          282.45
         73         1077           91         324          288.66
         74         1243           88         324          298.50
         75          740           94         323          279.45
         76         1257           88         324          298.50
         77         6538           96         324          273.62
         78         1202           88         324          298.50
         79         4883           89         324          295.15
         80        12423           95         324          276.51
         81         7197           88         324          298.50
         82        11459           88         324          298.50
         83         3323           95         324          276.51
         84        13280           88         324          298.50
         85         8158           89         324          295.15
         86         1364           87         324          301.93
         87        11070           89         324          295.15
         88         7171           88         324          298.50
         89         2179           94         324          279.45
         90         1108           88         324          298.50
         91        13697           87         324          301.93
         92        10208           93         323          282.45
         93        14138           96         324          273.62
         94        10837           92         324          285.52
         95        11848           91         324          288.66
         96        12734           91         324          288.66
         97        14111           93         324          282.45
         98        11433           95         324          276.51
         99         2019           93         324          282.45
        100        14346           90         324          291.87
        101         1092           90         324          291.87
        102         4102           88         324          298.50
        103          103           93         322          282.45
        104          104           94         323          279.45
        105          573           94         324          279.45
        106         1075           92         323          285.52
        107          933           91         324          288.66
        108         1291           96         323          273.62
        109         1148           91         324          288.66
        110         9922           89         324          295.15
        111         1347           90         324          291.87
