Solution ID,f[1],f[2],f[3]
104,90.0,322.0,310.211111111
125,91.0,320.0,306.802197802
168,93.0,327.0,300.204301075
214,87.0,326.0,320.908045977
257,90.0,322.0,310.211111111
259,88.0,323.0,317.261363636
348,89.0,323.0,313.696629213
470,92.0,323.0,303.467391304
949,85.0,327.0,328.458823529
977,85.0,327.0,328.458823529
1003,86.0,327.0,324.639534884
1025,87.0,326.0,320.908045977
1107,85.0,327.0,328.458823529
1131,86.0,327.0,324.639534884
1159,86.0,327.0,324.639534884
1237,84.0,327.0,332.369047619
1263,85.0,327.0,328.458823529
1307,85.0,327.0,328.458823529
1339,86.0,327.0,324.639534884
1367,86.0,327.0,324.639534884
1393,85.0,327.0,328.458823529
1419,85.0,327.0,328.458823529
1445,86.0,327.0,324.639534884
1471,86.0,327.0,324.639534884
1547,86.0,327.0,324.639534884
1575,85.0,327.0,328.458823529
1596,86.0,327.0,324.639534884
1652,86.0,327.0,324.639534884
1678,84.0,327.0,332.369047619
1705,86.0,327.0,324.639534884
1729,85.0,327.0,328.458823529
1754,85.0,327.0,328.458823529
1782,86.0,327.0,324.639534884
1861,85.0,327.0,328.458823529
1884,86.0,327.0,324.639534884
1909,85.0,327.0,328.458823529
1930,85.0,327.0,328.458823529
2121,85.0,327.0,328.458823529
2195,86.0,327.0,324.639534884
2225,85.0,327.0,328.458823529
2297,85.0,327.0,328.458823529
2325,85.0,327.0,328.458823529
2354,86.0,327.0,324.639534884
2380,86.0,327.0,324.639534884
2407,85.0,327.0,328.458823529
2430,86.0,327.0,324.639534884
2456,86.0,327.0,324.639534884
2511,86.0,327.0,324.639534884
2536,85.0,327.0,328.458823529
2588,86.0,327.0,324.639534884
2611,86.0,327.0,324.639534884
2952,86.0,327.0,324.639534884
2975,86.0,327.0,324.639534884
3003,85.0,327.0,328.458823529
3056,85.0,327.0,328.458823529
3107,85.0,327.0,328.458823529
3155,85.0,327.0,328.458823529
3187,86.0,327.0,324.639534884
3207,85.0,327.0,328.458823529
3264,86.0,327.0,324.639534884
3290,86.0,327.0,324.639534884
3307,85.0,327.0,328.458823529
3420,86.0,327.0,324.639534884
3469,84.0,327.0,332.369047619
3499,85.0,327.0,328.458823529
3523,86.0,327.0,324.639534884
3601,85.0,327.0,328.458823529
3655,85.0,327.0,328.458823529
3678,86.0,327.0,324.639534884
3733,86.0,327.0,324.639534884
3782,85.0,327.0,328.458823529
3837,85.0,327.0,328.458823529
3887,86.0,327.0,324.639534884
3993,86.0,327.0,324.639534884
4034,86.0,327.0,324.639534884
4083,85.0,327.0,328.458823529
4226,86.0,327.0,324.639534884
4253,85.0,327.0,328.458823529
4279,86.0,327.0,324.639534884
4328,86.0,327.0,324.639534884
4354,86.0,327.0,324.639534884
4408,85.0,327.0,328.458823529
4433,86.0,327.0,324.639534884
4509,86.0,327.0,324.639534884
4537,85.0,327.0,328.458823529
4565,85.0,327.0,328.458823529
4616,86.0,327.0,324.639534884
4637,85.0,327.0,328.458823529
4693,86.0,327.0,324.639534884
4721,85.0,327.0,328.458823529
4772,86.0,327.0,324.639534884
4799,86.0,327.0,324.639534884
4825,86.0,327.0,324.639534884
4875,86.0,327.0,324.639534884
4896,85.0,327.0,328.458823529
5003,86.0,327.0,324.639534884
5050,86.0,327.0,324.639534884
5108,86.0,327.0,324.639534884
