Solution ID,f[1],f[2],f[3]
11014,58.0,563.0,487.568965517
11316,61.0,499.0,463.590163934
15677,63.0,491.0,448.873015873
16206,58.0,563.0,487.568965517
16234,59.0,531.0,479.305084746
16276,62.0,491.0,456.112903226
16588,62.0,491.0,456.112903226
17442,62.0,491.0,456.112903226
17683,63.0,491.0,448.873015873
17868,62.0,491.0,456.112903226
18626,63.0,491.0,448.873015873
20159,63.0,491.0,448.873015873
20192,63.0,491.0,448.873015873
20206,62.0,491.0,456.112903226
20767,63.0,491.0,448.873015873
20971,63.0,491.0,448.873015873
21038,63.0,491.0,448.873015873
21072,63.0,491.0,448.873015873
21218,63.0,491.0,448.873015873
21222,63.0,491.0,448.873015873
21240,63.0,491.0,448.873015873
21276,57.0,731.0,496.122807018
21415,60.0,517.0,471.316666667
21466,63.0,491.0,448.873015873
21957,63.0,491.0,448.873015873
22034,63.0,491.0,448.873015873
22281,63.0,491.0,448.873015873
22426,63.0,491.0,448.873015873
22875,63.0,491.0,448.873015873
23048,63.0,491.0,448.873015873
23248,63.0,491.0,448.873015873
23413,63.0,491.0,448.873015873
23530,63.0,491.0,448.873015873
24356,63.0,491.0,448.873015873
24511,63.0,491.0,448.873015873
24636,63.0,491.0,448.873015873
24693,63.0,491.0,448.873015873
